"Where are changes to the `cart` stored after modifying product quantities?","The changes are saved back to `sessionStorage`.","sessionStorage.setItem('cart', JSON.stringify(cart));"
"Which function is used to load all product categories into the dropdown for filtering?","The `loadCategoriesForFilter()` function is used to populate the filter dropdown.","loadCategoriesForFilter();"
"What action is taken to add a new product to the shopping cart?","The `addToSessionCart()` function is used to add the product to the cart.","addToSessionCart(productId, productName, productPrice, quantity);"
"How is the success message shown after deleting a product?","An alert is shown to confirm successful deletion of the product.","alert('Product deleted successfully');"
"What happens if the `loadProducts()` function fails to retrieve products?","An alert informs the user that the products failed to load.","alert('Failed to load products');"
"Where is the `product description` input value retrieved from in the form?","The `description` value is retrieved using `.val()` on the input field.","var description = $('#addProductDescription').val();"
"How is the product quantity input handled when adding to the cart?","The default quantity is set to `1` when adding a product.","var quantity = 1;"
"Which function removes a product from the list after it has been deleted?","The `loadProducts()` function refreshes the product list.","loadProducts();"
"How do you handle adding a product if the user does not provide a `price`?","A validation alert is displayed to the user if the price is missing.","if (!price) { alert('Price cannot be empty'); }"
"Where is the updated list of products retrieved from after deleting a product?","The list is reloaded using the `loadProducts()` function.","loadProducts();"
"What function is called to show the success message after editing a product?","The `showNotification()` function is called to show the success notification.","showNotification('Product updated successfully');"
"How is the product ID stored for reference in various actions like edit or delete?","The `data-product-id` attribute stores the product ID.","$('.edit-btn').attr('data-product-id', productId);"
"Where is the cart data saved after modifying product quantities in the cart?","The modified cart data is saved to `sessionStorage`.","sessionStorage.setItem('cart', JSON.stringify(cart));"
"What happens if no category is selected while adding a product?","An alert message is shown to prompt the user to select a category.","if (!category) { alert('Please select a category'); }"
"How is a new product card added to the list of displayed products?","The product card is dynamically appended to the `#productList`.","$('#productList').append(productCardHtml);"
"Which method is used to display only products matching a selected category?","The `.toggle()` method is used to hide or show matching products.","$(this).toggle(matchesCategory);"
"How do you ensure that all form inputs are cleared after adding a product?","Use the `.trigger('reset')` method to clear the form inputs.","$('#addProductForm').trigger('reset');"
"What is the purpose of the `editProduct()` function?","It enables editing of an existing product by making input fields editable.","editProduct(productId);"
"Where is the success alert shown after a product has been successfully saved?","The success alert is shown using the `alert()` function.","alert('Product saved successfully');"
"What variable holds the information of the newly created product?","The `productData` object contains all product information.","var productData = { name, description, price, category };"
"How is the `quantity` value for a product updated during cart modification?","The quantity value is updated by retrieving the input value and saving it.","var quantity = parseInt($('#quantity-' + productId).val()); sessionStorage.setItem('cart', JSON.stringify(cart));"
"Which function initializes the cart count when the user first visits the page?","The `updateCartCount()` function initializes the cart count.","updateCartCount();"
"How do you check if a new product is already in the cart before adding it?","Use the `isProductInCart()` function to verify if the product exists.","isProductInCart(productId);"
"What is done if a user cancels editing a product without saving changes?","The original values are loaded again, and the input fields are disabled.","loadProductsForEdit();"
"Where is the user ID retrieved from when performing product operations?","The user ID is retrieved from `sessionStorage`.","var userId = sessionStorage.getItem('userId');"
"How is a category selected in the `add product` form?","A dropdown is provided to select a category, and its value is retrieved via `.val()`.","var category = $('#addProductCategory').val();"
"How do you remove all products from the product list before reloading them?","Use the `.empty()` method to clear the `#productList` container.","$('#productList').empty();"
"Which function is used to append a success message to the DOM?","The `showNotification()` function appends the success message.","showNotification('Product added successfully');"
"What action is taken if the `addProduct()` function encounters an error?","An alert message is displayed to notify the user of the error.","alert('Failed to add product');"
"What method is used to add products to the shopping cart when clicked?","The `.click()` method triggers the cart addition function for the product.","$('.add-to-cart-btn').click(function() { addToSessionCart(productId, productName, productPrice, quantity); });"
"Where is the product's `name` field retrieved from during editing?","The name is retrieved from the input field associated with the product ID.","var name = $('#name-' + productId).val();"
"How do you validate that a product has a description before adding it?","Check if the `description` input field is empty before submitting.","if (!description) { alert('Product description cannot be empty'); return; }"
"What action is taken to disable input fields after a product edit is saved?","The input fields are set to disabled using `.prop('disabled', true)`.","$('#name-' + productId).prop('disabled', true);"
"Which function refreshes the product list after a new product is added?","The `loadProducts()` function is called to reload the list.","loadProducts();"
"How do you remove a product from the cart if it is no longer needed?","Find the product by ID in `sessionStorage`, remove it, and update the cart.","removeProductFromCart(productId); sessionStorage.setItem('cart', JSON.stringify(cart));"
"How do you ensure a valid image is selected when adding a product?","A conditional check is used to see if the `imageFile` is provided.","if (!imageFile) { alert('Please select a product image'); }"
"Where is the current product category value retrieved for display in the edit form?","The category value is set using `.val()` in the category dropdown.","$('#category-' + productId).val(product.categoryId);"
"Which function is called when the `Delete` button is clicked for a product?","The `deleteProduct()` function sends an AJAX request to remove the product.","$('.delete-btn').click(function() { deleteProduct(productId); });"
"What is the purpose of the `loadProducts()` function?","The `loadProducts()` function retrieves and displays all available products.","`loadProducts()` fetches and populates the product list on the page."
"How does the `editProduct()` function work when editing a product?","It enables fields for editing and shows the `Save` button.","The `editProduct()` function allows editing by enabling fields."
"Where do you disable the input fields after saving product changes?","The input fields are disabled to prevent further edits until next activation.","Input fields are disabled with JavaScript to finalize changes."
"What is the role of `updateCartCount()`?","It updates the displayed count of items in the shopping cart.","The `updateCartCount()` function reflects the current total in the cart."
"How is a category selected for filtering products?","The user selects a category from a dropdown, which is used to filter displayed products.","Categories are chosen from a dropdown and used to apply a filter."
"What happens when a product is successfully added to the cart?","A success notification is shown, and the cart count is updated.","On successful addition, a notification appears and the cart count increases."
"How is the product name retrieved in the `editProduct()` function?","The product name is retrieved from the input field associated with the product ID.","`editProduct()` gets the value from the relevant input field."
"What validation is applied to the `price` field when adding a product?","The price must be greater than zero to be accepted.","A validation check ensures the `price` is positive before saving."
"How are product categories loaded into the `addProductForm()`?","Categories are loaded via an AJAX request and appended to a dropdown.","Categories populate the dropdown using an AJAX call."
"Where is the form reset after successfully adding a product?","The form is reset using a JavaScript method to clear all input fields.","Form is cleared by resetting inputs to their initial state."
"How is the `Delete` button used in the product management interface?","The `Delete` button is used to remove a product from the list.","Clicking the `Delete` button triggers the removal of a product."
"Which function is used to display a success message after saving product changes?","The `showNotification()` function shows a success alert.","`showNotification()` provides visual feedback for successful saves."
"What happens if a product name is not provided when adding a new product?","An alert informs the user that the name is required.","The user receives an alert to provide the product name."
"How is the product's `category` value retrieved during editing?","The `category` is obtained from the dropdown in the edit form.","Category selection is retrieved using JavaScript during editing."
"What action is taken if no category is selected when adding a product?","An alert is displayed prompting the user to select a category.","An alert prompts the user to make a selection for `category`."
"How is a new product added to the DOM after being created?","The new product card is appended to the product list container.","JavaScript adds the new product card dynamically to the DOM."
"Where is the product price validated in the `addProduct()` function?","The price is validated to ensure it is greater than zero before proceeding.","Price validation ensures only positive values are accepted."
"What is the purpose of `loadCategoriesForFilter()`?","The function loads product categories for filtering the displayed product list.","`loadCategoriesForFilter()` helps users select a category to view products."
"How is the `Save` button hidden after editing a product?","The `Save` button is hidden to indicate that changes have been saved.","After saving, JavaScript hides the `Save` button."
"How do you enable the `Edit` button once a product has been updated?","The `Edit` button is made visible after changes are saved to allow future edits.","The `Edit` button becomes active again after saving."
"What does the `deleteProduct()` function do?","It removes the specified product from the backend and reloads the list.","The `deleteProduct()` function handles deletion and reloads products."
"How is the success notification formatted when a product is added?","It is formatted as a visual alert to inform the user.","The success notification is a styled visual alert."
"Which element shows the updated number of items in the cart?","The element with ID `cart-count` displays the current item count.","`#cart-count` reflects the latest number of items."
"What method is used to reset the `addProductForm`?","The `.trigger('reset')` method resets the form fields to their defaults.","`trigger('reset')` is used to clear the form."
"How do you prevent users from adding products without a description?","A validation check is in place to require the `description` field.","The `description` field must be filled out to proceed."
"What is the purpose of `sessionStorage` in managing the cart?","It temporarily stores cart data to maintain state during browsing.","`sessionStorage` keeps cart data until the session ends."
"Where is the default category set after editing a product?","The dropdown is reset to its default state using JavaScript.","JavaScript resets the category dropdown after editing."
"What is done to remove all products from the page before reloading them?","The `.empty()` method clears the product list before new items are loaded.","Products are cleared using `.empty()` to refresh the list."
"Which function triggers adding a product to the cart upon clicking?","The `addToSessionCart()` function adds products to the shopping cart.","Clicking adds products via `addToSessionCart()`."
"How do you display a success message after editing a product?","The `showNotification()` function displays the success message.","`showNotification()` shows that edits were saved successfully."
"What happens if an invalid image is provided during product addition?","An alert is shown to inform the user that an image must be provided.","Users are alerted if the image input is missing or invalid."
"Where is the `category` filter applied to display products?","The filter is applied based on the dropdown value selected by the user.","Products are filtered according to the dropdown selection."
"How is a product deleted from the cart?","The product is located by ID and removed from `sessionStorage`.","The product is removed from the cart by updating the session data."
"What is the role of `checkIsAdmin()` on the edit page?","It verifies if the user has the required admin privileges for editing.","`checkIsAdmin()` ensures only admins can edit products."
"How do you inform the user when categories fail to load?","An alert is shown to notify the user that categories could not be loaded.","An alert informs users about issues with category loading."
"Where is the `price` field retrieved from during product addition?","The value is retrieved from the `addProductPrice` input field.","JavaScript retrieves the `price` from the input element."
"What function allows users to edit existing products?","The `editProduct()` function enables fields for modifications.","`editProduct()` allows users to make changes to product details."
"How are categories appended to the dropdown when adding a product?","Categories are appended using a loop after an AJAX call retrieves them.","AJAX is used to load categories and append them to the dropdown."
"What happens if the user tries to add a product without selecting a category?","An alert informs the user that a category must be selected.","Users are prompted with an alert to choose a category."
"How do you handle the `Save` button after completing an edit?","The `Save` button is hidden to indicate that the edit has been saved.","The button is hidden once the product has been updated."
"What is the `data-product-id` attribute used for?","It stores the product ID to associate actions like delete or edit.","`data-product-id` links actions to specific product entries."
"Where is the product list refreshed after a product is deleted?","The `loadProducts()` function is called to update the list.","The product list is refreshed by calling `loadProducts()`."
"Which method converts a product image to base64 format?","The `FileReader`'s `readAsDataURL()` method is used for conversion.","`readAsDataURL()` converts the image to base64."
"How do you validate the `quantity` input when adding to the cart?","The `quantity` must be greater than zero to proceed.","Only positive quantities are allowed for adding to the cart."
"Where is the `Save` button shown during editing?","The `Save` button is shown alongside the product being edited.","It appears during product modifications to save changes."
"What happens to the `Edit` button when a product is being edited?","It is hidden to prevent changes during the save process.","The `Edit` button is hidden while edits are being saved."
"How is the cart updated after modifying the quantity of a product?","The modified cart is saved to `sessionStorage` to reflect the changes.","`sessionStorage` is updated with the new cart data."
"How do you add a success notification after saving changes to a product?","The `showNotification()` function is used to indicate success.","A success message is shown using `showNotification()`."
"What action does `preventDefault()` perform in the product form?","It prevents the form from submitting normally, allowing custom behavior.","`preventDefault()` stops default form submission."
"Which element is used to list all loaded products on the page?","The `#productList` element is used for displaying product cards.","`#productList` is the container for product entries."
"What is the default behavior when a new product image is not uploaded?","A default image URL is used to represent products with missing images.","Products with no image use a default placeholder."
"How do you show the `Save` button during the editing process?","The button is made visible using JavaScript to allow saving changes.","JavaScript shows the `Save` button during edit mode."
"What method is used to dynamically add new product cards?","The `.append()` method is used to add new elements to the DOM.","Product cards are added using `.append()`."
"Which function is responsible for removing a product from the backend?","The `deleteProduct()` function sends a request to delete the product.","The product is removed by calling `deleteProduct()`."
"How is the `price` field validated in the `addProduct()` function?","The value must be positive before submitting the form.","Price must be greater than zero to add the product."
"Where is the cart count updated on the page after an item is added?","The `#cart-count` element is updated with the new item count.","`#cart-count` displays the latest quantity."
"What action is performed when clicking the `Save` button?","Changes made to the product are saved to the backend.","The `Save` button sends the edited product details."
"How do you reset the `category` dropdown after a product is added?","The dropdown is reset to its default value using JavaScript.","The `category` selection is cleared after adding a product."
"What does the `addToSessionCart()` function do?","It adds a product to the session-stored cart for later use.","`addToSessionCart()` adds products to the user's session cart."
"Where is the `category` dropdown value retrieved from during editing?","The value is obtained from the dropdown element in the edit form.","JavaScript retrieves the selected `category`."
"How do you prevent users from submitting a form with invalid inputs?","Validation checks are applied to ensure fields like `price` are filled correctly.","JavaScript checks input validity before submission."
"What happens to the `Edit` button after saving product changes?","It becomes visible again, allowing users to make future edits.","The button reappears to enable further modifications."
"How are product details sent to the backend after editing?","Product details are serialized and sent via an AJAX `POST` request.","AJAX submits updated product information to the backend."
"What is the purpose of `alert()` in the product management flow?","It notifies users of actions such as missing fields or errors.","`alert()` is used to give feedback to the user."
"How is the default image set for products missing an image?","A placeholder image is used when no image is provided by the user.","Default images represent products without an uploaded image."
"Which function verifies whether a product already exists in the cart?","The `isProductInCart()` function checks for product presence.","`isProductInCart()` prevents duplicate products in the cart."
"What happens to the input fields after successfully saving an edit?","The fields are disabled to prevent further modifications until re-editing.","Input fields are locked after a successful save."
"Where are cart modifications saved after changing product quantities?","They are saved back to `sessionStorage` to update the cart state.","`sessionStorage` retains the updated cart quantities."
"What action is taken to indicate a product edit has been saved?","A success notification is shown, and the input fields are locked.","The user sees a success alert, and fields become read-only."
"How is the `loadProductsForEdit()` function used?","It retrieves product information to populate fields for editing.","`loadProductsForEdit()` loads product details for modification."
"Which event handler is used to add a product to the cart?","The `.click()` event on the add button triggers the addition to the cart.","A click event calls the add-to-cart functionality."
"What does `trigger('reset')` do in the context of forms?","It clears the form inputs, resetting them to their default state.","`trigger('reset')` refreshes the form fields."
"How is a category filter applied to the product list?","A dropdown selection determines which products are displayed.","The selected category filters the visible products."
"How do you remove a product's information from session storage?","Locate the product by its ID and delete it from `sessionStorage`.","JavaScript deletes product entries from the cart data."
"Which function retrieves product categories for filtering?","The `loadCategoriesForFilter()` function fetches categories for the filter dropdown.","`loadCategoriesForFilter()` populates filter options."
"What is done to the form after successfully adding a new product?","The form is cleared to allow entry of a new product.","Form inputs are cleared using JavaScript."
"How do you handle the addition of a product when the quantity is zero?","An alert prompts the user to enter a valid quantity greater than zero.","The user is alerted about the invalid quantity input."
"What action does `showNotification()` perform after a product is edited?","It provides visual feedback that changes were saved successfully.","A success message is displayed using `showNotification()`."
"How do you make sure only admins can edit products?","The `checkIsAdmin()` function is used to validate admin rights.","Only admins can proceed with editing based on a validation check."
"Where is the `product description` stored before adding a product?","It is taken from the form input and saved to the `productData` object.","The `description` is saved in `productData`."
"How do you append categories to a dropdown in the product add form?","Categories are appended using `.append()` in a loop.","JavaScript adds categories to the dropdown dynamically."
"What is the role of `sessionStorage` in managing the shopping cart?","`sessionStorage` temporarily stores cart information during a user's session.","`sessionStorage` retains cart data while the user browses the site."
"How do you notify the user of a successful product addition?","The `showNotification()` function displays a success message.","`showNotification()` alerts users of successful product additions."
"Where is the input for the product price obtained when editing?","The price is retrieved from the respective input field in the edit form.","JavaScript retrieves the product price from an input field."
"What happens to the `Edit` button once changes are saved?","The `Edit` button is re-enabled to allow future modifications.","After saving, the `Edit` button is made available again."
"How is a category dropdown populated for product filtering?","The dropdown is populated by fetching available categories via an AJAX call.","Categories are added to the dropdown from the AJAX response."
"What does the `addToSessionCart()` function do?","It adds a product to the session cart, keeping track of added items.","`addToSessionCart()` stores product details in the session cart."
"Which method is used to prevent form submission during validation?","The `preventDefault()` method is used to stop the form's default action.","`preventDefault()` ensures custom handling of form submission."
"How do you handle missing product information when adding a new product?","Validation checks ensure all required fields are completed before submission.","JavaScript prompts the user to fill all necessary fields."
"What is the purpose of the `deleteProduct()` function?","It removes a product from the backend and refreshes the product list.","`deleteProduct()` deletes the product and updates the display."
"Where is the `Save` button hidden after saving product changes?","The `Save` button is hidden to indicate that changes have been finalized.","After saving, JavaScript hides the `Save` button."
"How are new products added to the product list on the page?","New products are dynamically appended to the `#productList` container.","JavaScript adds new product entries to the list on the page."
"What is the role of `updateCartCount()` in the shopping cart?","It updates the displayed number of items in the user's cart.","`updateCartCount()` refreshes the item count displayed in the cart."
"How do you prevent a product from being added without selecting a category?","An alert prompts the user to select a category before adding the product.","The user must select a category to proceed with adding a product."
"Which function is used to update product details after editing?","The `saveProduct()` function saves the modified product information.","`saveProduct()` sends updated product data to the backend."
"Where is the `category` value retrieved during product addition?","The `category` value is retrieved from the dropdown in the form.","The selected category is accessed from the dropdown."
"What is the purpose of `loadProducts()` on the product page?","It loads and displays all products available for the user to view.","`loadProducts()` fetches product data for the main list."
"How is a default image assigned when no product image is provided?","A placeholder image is used if the product image is not available.","JavaScript assigns a default image if none is provided."
"Which element displays the success notification when a product is saved?","A `div` with a success class is used to show the notification message.","A styled `div` element visually confirms success."
"What action does the `Edit` button perform in the product interface?","It enables the product fields for editing, allowing modifications.","Clicking `Edit` activates the fields for modification."
"How is the product list cleared before reloading with updated data?","The `.empty()` method is used to remove existing product elements.","`#productList` is cleared before new products are loaded."
"What does `trigger('reset')` do in the product form?","It resets all fields in the form to their default values.","`trigger('reset')` clears the form for a new product entry."
"Where is the product's `name` retrieved during editing?","The `name` is obtained from the specific input field tied to the product ID.","JavaScript fetches the product name from the edit input."
"How do you ensure the `price` field is properly filled before adding a product?","The `price` must be positive and not empty to proceed with adding the product.","JavaScript checks if the `price` value is valid."
"What is the `data-product-id` attribute used for in product management?","It holds the product ID to link actions such as edit or delete to a specific product.","`data-product-id` helps identify which product is being modified."
"How is the notification displayed to the user when adding a product to the cart?","The `showNotification()` function is called to show a success alert.","A notification message appears to confirm the addition."
"What does the `loadCategoriesForForm()` function do?","It loads product categories and populates the dropdown in the form.","`loadCategoriesForForm()` fetches and displays categories for selection."
"Which function is called when a product is successfully deleted?","The `loadProducts()` function refreshes the list to reflect the deletion.","`loadProducts()` is called to update the displayed product list."
"How do you alert the user if a required field is empty when adding a product?","An alert is displayed, indicating that all fields must be filled.","The user is notified to complete all required fields."
"Where is the product price saved before being submitted to the backend?","The price is saved in the `productData` object before sending the request.","The `productData` object holds the price for submission."
"What action does the `Save` button perform during product editing?","It saves the modified product details and updates the product list.","Clicking `Save` commits the changes made to the product."
"How do you update the shopping cart count after adding an item?","The `updateCartCount()` function is called to adjust the count.","The cart count is recalculated and displayed to the user."
"What is the role of the `quantity` input when adding products to the cart?","It determines the number of units of the product to be added.","The `quantity` input specifies how many items to add."
"How do you inform the user about errors during category loading?","An alert message is shown if the categories fail to load properly.","The user is informed about category loading errors."
"Which function allows users to save edited product details?","The `saveProduct()` function sends updated product information to the backend.","`saveProduct()` saves modifications made to products."
"Where is the success alert shown after saving product edits?","A success message is displayed using the `showNotification()` function.","The user sees a notification confirming the changes."
"What happens to the `Edit` button while a product is being saved?","It is hidden to prevent further modifications until the save is completed.","The `Edit` button is disabled during the save process."
"How is a new product card added to the product list on the page?","The `.append()` method is used to add the new product to the list.","JavaScript dynamically appends new product cards to the DOM."
"What is the purpose of validating the `category` field when adding a product?","Validation ensures the user selects a category before submitting the form.","The category must be chosen to proceed with adding the product."
"Where is the default value of `quantity` set when adding a product to the cart?","The default quantity value is set to `1` before adding to the cart.","The cart addition sets `quantity` to `1` by default."
"How is a product image converted to base64 before being saved?","The `FileReader` object is used to convert the image using `readAsDataURL()`.","`FileReader` reads the image and converts it to base64."
"What does the `loadProductsForEdit()` function accomplish?","It loads the product details for modification in the edit form.","`loadProductsForEdit()` populates editable fields with product data."
"How do you reset the product form after successfully saving a product?","Use the `.trigger('reset')` method to clear all fields in the form.","JavaScript resets the form to allow adding a new product."
"Where is the product ID stored for reference in delete actions?","The `data-product-id` attribute in the button stores the product ID.","This attribute links the button to the specific product."
"What action is performed if a product price is left empty during addition?","An alert notifies the user that the price must be provided.","Users are prompted to enter a price to continue."
"How do you inform the user that changes were saved successfully?","A success message is displayed using the `showNotification()` function.","The user is shown a notification confirming the save."
"Which event handler is used to trigger adding a product to the cart?","The `.click()` event on the add button calls the function to add the product.","A click event is used to initiate adding a product to the cart."
"Where is the success notification shown when editing is complete?","A notification appears on the page using the `showNotification()` function.","The success message confirms that the product was updated."
"How do you retrieve the selected category during product filtering?","The category is accessed via the value of the dropdown filter.","JavaScript gets the selected category from the dropdown."
"Which function checks if a product is already in the cart?","The `isProductInCart()` function verifies if a product exists in the cart.","This function prevents duplicates from being added."
"How is the cart data saved after modifying product quantities?","The modified data is stored back into `sessionStorage`.","The cart updates are saved using `sessionStorage`."
"What happens if the `loadCategoriesForForm()` function fails?","An alert is displayed to inform the user that categories could not be loaded.","Users are notified about the failure to load categories."
"How is the `Save` button used when editing a product?","It allows the user to save their modifications to the product.","The button saves all changes made to the product details."
"What does the `.empty()` method do before loading new products?","It clears all products currently listed in the `#productList` element.","The list is emptied to prepare for fresh product data."
"Where is the updated quantity value retrieved from during cart modification?","It is obtained from the `quantity` input field linked to the product.","JavaScript retrieves the new quantity for the cart."
"How do you confirm successful deletion of a product?","A success notification is displayed to inform the user that deletion was completed.","The user is shown a message confirming that the product was deleted."
"What function loads all available products into the product list?","The `loadProducts()` function retrieves and populates the product list.","`loadProducts()` handles fetching and displaying products."
"Which function is used to populate the product form with existing details?","The `loadProductsForEdit()` function is called to fill in product data.","Editable fields are populated by `loadProductsForEdit()`."
"How do you retrieve the `price` field when adding a new product?","The price is retrieved from the `addProductPrice` input element in the form.","JavaScript fetches the price value from the form."
"What happens if the user tries to add a product with an empty name field?","An alert prompts the user to enter a valid product name.","The user must provide a name to proceed with adding the product."
"Where is the updated product list displayed after deleting an item?","The `loadProducts()` function refreshes the list to show the current items.","Products are refreshed to remove the deleted item."
"How do you clear all fields in the `addProductForm` after submission?","Use `.trigger('reset')` to clear all input fields in the form.","JavaScript resets the form after a product is added."
"What is the purpose of the `showNotification()` function after a product is saved?","It provides visual confirmation that the product was successfully saved.","The function displays a success message to the user."
"Which method is used to show the `Save` button during product editing?","The `.show()` method makes the `Save` button visible for the user.","JavaScript displays the `Save` button during edits."
"Where is the default product image set if none is provided?","A placeholder is used to indicate that no custom image was uploaded.","The default image serves as a fallback for products without pictures."
"What action is taken if a product's `quantity` is set to zero during addition?","The user is alerted to enter a valid quantity greater than zero.","A validation message prompts the user for a correct quantity."
"How is the `Save` button hidden after saving product changes?","The `.hide()` method is used to remove the button from view.","JavaScript hides the `Save` button post-edit."
"Which function allows an admin to delete a product?","The `deleteProduct()` function sends a delete request for the selected product.","`deleteProduct()` handles removing products from the list."
"How is the new product added to the `#productList` on the page?","The new product card is appended using the `.append()` method.","JavaScript dynamically adds new products to the list."
"What happens if the category selection is missing when adding a product?","An alert message is displayed to prompt the user to select a category.","Users are notified that they need to select a category."
"Where are product details like `name` and `price` stored before submission?","Details are stored in the `productData` object before being sent to the backend.","`productData` holds all the necessary product information."
"How do you retrieve the `category` selected in the product filter dropdown?","The selected value is retrieved from the filter dropdown element.","JavaScript gets the selected category for filtering."
"Which function is used to reset the cart count to zero when the cart is cleared?","The `updateCartCount()` function resets the number displayed to zero.","The count is updated when all items are removed from the cart."
"How do you prevent default form behavior when adding a product?","Use the `event.preventDefault()` method in the form submission handler.","JavaScript prevents the form from submitting automatically."
"Where is the default category set in the form after adding a product?","The `category` dropdown is reset to its default state using JavaScript.","The dropdown is cleared after adding a new product."
"How is a product image encoded before being sent to the server?","The `FileReader`'s `readAsDataURL()` method converts the image to base64.","`FileReader` handles encoding images for upload."
"What function is used to handle form submission when adding a product?","The `addProduct()` function processes the form data and adds the product.","The `addProduct()` function is called when the form is submitted."
"How is the `quantity` field validated before adding to the cart?","A check ensures `quantity` is greater than zero to proceed.","`quantity` must be positive to add the product to the cart."
"Which function shows a message after successfully deleting a product?","The `showNotification()` function displays a success message.","`showNotification()` indicates the product was successfully deleted."
"How do you prevent adding a product without an image?","An alert message prompts the user to upload an image.","Users are required to select an image before adding a product."
"Where is the product name retrieved when editing?","The product name is retrieved from the input field in the edit form.","JavaScript accesses the name value during the edit process."
"What happens if no category is chosen during product addition?","An alert notifies the user to select a category before submission.","The user is prompted to choose a category."
"Which function is used to clear the product form after adding?","The `.trigger('reset')` method is used to clear the form inputs.","`trigger('reset')` resets the fields to their default states."
"How is the cart updated after adding a new item?","The `updateCartCount()` function updates the cart's total item count.","The cart count is adjusted to reflect the new item added."
"What action is performed by the `Edit` button in product management?","It allows the user to modify the product details in the form.","The `Edit` button enables input fields for editing."
"Where do you store product information before sending it to the backend?","Product information is saved in the `productData` object.","The `productData` object holds all product details."
"How is the success message shown after a product is added to the cart?","The `showNotification()` function shows a confirmation message.","A success alert confirms the product was added to the cart."
"Which method is used to remove products from the page before reloading?","The `.empty()` method clears all products from the list.","`#productList` is cleared to refresh with updated products."
"What is the default behavior of the `Save` button after editing?","The `Save` button is hidden after successfully saving the changes.","The button is hidden to indicate that edits have been saved."
"Where is the product price value retrieved during form submission?","The `price` is retrieved from the price input field.","JavaScript gets the `price` from the respective input field."
"How do you notify the user if a product field is left empty during editing?","An alert informs the user that all fields must be filled out.","Validation checks ensure no fields are left empty."
"What is the purpose of `sessionStorage` in the shopping cart?","It keeps the cart data available during the browsing session.","`sessionStorage` maintains cart information while the user navigates."
"How is the `category` dropdown reset after a product is added?","The dropdown is reset to its default value to clear the form.","JavaScript resets the dropdown to allow adding new products."
"What happens if the `deleteProduct()` function fails to delete a product?","An alert message informs the user of the failure.","The user is notified if a product could not be deleted."
"Which function handles displaying categories in the product add form?","The `loadCategoriesForForm()` function populates the category dropdown.","Categories are loaded into the dropdown using this function."
"Where is the `quantity` value obtained when adding a product to the cart?","The value is retrieved from the quantity input element.","JavaScript retrieves the quantity from the form input."
"What role does `showNotification()` play after adding a product?","It provides feedback to the user indicating that the action was successful.","A notification confirms the successful product addition."
"How do you enable product fields for editing?","The `editProduct()` function is used to make the input fields editable.","Fields are enabled when the user clicks the `Edit` button."
"What action does the `Add to Cart` button perform?","It triggers the `addToSessionCart()` function to add the product to the cart.","The product is added to the cart upon clicking the button."
"Where is the success notification displayed after saving product changes?","The success message is displayed using `showNotification()`.","A notification confirms that product changes were saved."
"What happens if the `loadProducts()` function does not succeed?","An alert informs the user that the product list could not be loaded.","The user is notified about issues loading the products."
"How do you handle missing images during product addition?","An alert prompts users to upload an image before submitting.","The image field is required to proceed with adding the product."
"Where is the `price` value validated before product submission?","The price is validated to ensure it is positive and provided.","A validation check ensures the price is greater than zero."
"What function is used to disable fields after saving an edited product?","The fields are disabled to prevent further editing until reactivated.","JavaScript sets the input fields to `disabled` after saving."
"How do you notify users if no products match their search?","An alert message informs them that no results were found.","The user is notified if there are no matching products."
"What action does `loadProductsForEdit()` perform?","It populates the edit form with the selected product's current details.","The product details are loaded into the form for editing."
"How is the default quantity set in the cart when adding a product?","The quantity is set to `1` to add the default number of items.","The cart defaults to adding one unit of the product."
"Which function loads all product categories for selection in the form?","The `loadCategoriesForFilter()` function populates the filter dropdown.","Categories are loaded to allow filtering by category."
"How do you clear all form inputs after adding a product?","The `.trigger('reset')` method is used to reset the form.","JavaScript clears the form fields for the next product entry."
"What happens when the `Delete` button is clicked in the product list?","The `deleteProduct()` function is called to remove the selected product.","The product is deleted from the backend and UI."
"Where is the cart count updated after a product is added to the cart?","The count is updated in the `#cart-count` element to reflect the change.","`#cart-count` shows the updated number of items."
"What role does `preventDefault()` play in form handling?","It stops the form from automatically submitting, allowing custom handling.","`preventDefault()` lets JavaScript handle the submission."
"How is the product name obtained when saving changes to a product?","The product name is fetched from the input field linked to the product.","The input value is accessed to retrieve the updated name."
